"","file_name","task_id","H0","H1","H2","H3","H4","H5","H6","H7","H8","H9","H10","H11","H12","H13","H14","H15","H16","H17","H18","H19","H20","NA"
"1","HIT01_8",1,0,0.00476190476190476,0.00952380952380952,0.0142857142857143,0.0190476190476191,0.0238095238095238,0.0285714285714286,0.0333333333333333,0.0380952380952381,0.0428571428571429,0.0476190476190476,0.0523809523809524,0.0571428571428571,0.0619047619047619,0.0666666666666667,0.0714285714285715,0.0761904761904762,0.080952380952381,0.0857142857142857,0.0904761904761905,0.0952380952380953,NA
"2","HIT01_8",1,0,0.00142857142857143,0.00541353383458646,0.0115037593984962,0.0192481203007519,0.0281954887218045,0.0378947368421053,0.0478947368421053,0.0577443609022556,0.0669924812030075,0.075187969924812,0.0818796992481203,0.0866165413533834,0.0889473684210526,0.088421052631579,0.0845864661654135,0.0769924812030075,0.065187969924812,0.0487218045112782,0.0271428571428571,0,NA
"3","HIT01_8",1,0,0,0.00023301913507828,0.00140296937578381,0.00441873322815109,0.0101136777377726,0.0190298960313929,0.0312671763960246,0.0463966988955864,0.0634394595250617,0.0809094219021805,0.096921396496622,0.109363647396739,0.116135226613806,0.115448035923783,0.106193616246612,0.0883746645630218,0.063601278368866,0.0356519276669768,0.0110991544965411,0,NA
"4","HIT01_8",1,0,0,2.51929535308974e-05,0.000404486865023853,0.00224815550463085,0.00750402857418819,0.0183554542147503,0.0361908372267493,0.0605877908498013,0.0887607030431235,0.115776440858904,0.135606629649216,0.142814078431674,0.134423109699354,0.111356422236152,0.078792300028976,0.0449631100926169,0.0183367378810813,0.0038545218902273,0,0,NA
"5","HIT01_8",1,0,0,0,1.08906453955981e-05,0.000213637688918331,0.00155989032343003,0.00661373530538193,0.0195601221656671,0.0443330250158873,0.0811844765514224,0.123772521989713,0.159469507511723,0.174165455419557,0.159834141125165,0.120369982557951,0.0709750097160663,0.0299092764485663,0.00740563886900669,0.000622688666148313,0,0,NA
"6","HIT01_8",1,0,0,0,0,2.16045797658441e-06,6.90144566789692e-05,0.000760792402417775,0.00450008706030114,0.0172606063249202,0.0474125086979733,0.098569545637163,0.159654366023788,0.203428574543702,0.202246769881534,0.152310638964038,0.0816441022512205,0.0275242346216855,0.00445602324670223,0.000160575429898464,0,0,NA
"7","HIT01_8",1,0,0,0,0,0,3.29660247745119e-07,1.88971372731011e-05,0.000335329700911179,0.00290218583606038,0.0149473215850353,0.050850241225408,0.120798762197428,0.205225998407126,0.248666134922834,0.208076378514116,0.111536588901588,0.0328160526312352,0.00376319060547075,6.25886752664704e-05,0,0,NA
"8","HIT01_8",1,0,0,0,0,0,0,5.13208203626371e-08,5.46412774400995e-06,0.00016006020354755,0.00206092189692368,0.0143410518412016,0.0599602093113142,0.158459601512074,0.267429555231595,0.279721308741433,0.166601006178074,0.047056306305916,0.00416978776812315,3.46755612338313e-05,0,0,NA
"9","HIT01_8",1,0,0,0,0,0,0,3.48025926233051e-10,2.0379876201318e-07,1.83687964392729e-05,0.000532158971538581,0.0067328380918772,0.0433511902757373,0.152754911188993,0.299234286799107,0.312987867968703,0.155345374412516,0.0280813843873156,0.00096141496098522,0,0,0,NA
"10","HIT01_8",1,0,0,0,0,0,0,0,9.90718459132278e-10,5.49510568462071e-07,5.37292172223027e-05,0.00164794739101851,0.0204256992192306,0.115157193160731,0.305477594700879,0.36516358221371,0.169914154048206,0.0218417388570423,0.000317810690673985,0,0,0,NA
"11","HIT01_8",1,0,0,0,0,0,0,0,0,2.35922845431432e-09,1.55707034818672e-06,0.000173663428346289,0.00552473472662219,0.0622953405165625,0.268532726198919,0.428000280834251,0.213377870296259,0.021943051169524,0.000150773399939712,0,0,0,NA
"12","HIT01_8",1,0,0,0,0,0,0,0,0,0,7.07024645280075e-09,5.73498109178479e-06,0.000702418238311146,0.021120716441416,0.184932687524646,0.471607275977818,0.293897459506975,0.0276328325727263,0.000100867686769389,0,0,0,NA
"13","HIT01_8",1,0,0,0,0,0,0,0,0,0,0,3.26402883645909e-08,3.07828269749259e-05,0.00370238313495833,0.0877987856220875,0.447801269484876,0.41859295488836,0.0419807518189754,9.30395834795407e-05,0,0,0,NA
"14","HIT01_8",1,0,0,0,0,0,0,0,0,0,0,0,2.59859256376878e-07,0.000250035132655292,0.0240880453486879,0.327617508909693,0.574215577615887,0.0737128557884268,0.000115717345392668,0,0,0,NA
